Time,IFACE,rxpck/s,txpck/s,rxkB/s,txkB/s,rxcmp/s,txcmp/s,rxmcst/s,%ifutil
2018-09-07 15:25:53,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:53,wlp3s0,7.00,0.00,1.21,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:54,enp0s31f6,2402.00,968.00,3553.82,66.20,0.00,0.00,0.00,29.11
2018-09-07 15:25:54,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:54,wlp3s0,2.00,0.00,0.18,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:55,enp0s31f6,2372.00,947.00,3497.81,64.81,0.00,0.00,0.00,28.65
2018-09-07 15:25:55,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:55,wlp3s0,10.00,0.00,2.67,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:56,enp0s31f6,2202.00,881.00,3255.92,60.25,0.00,0.00,0.00,26.67
2018-09-07 15:25:56,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:56,wlp3s0,17.00,0.00,1.66,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:57,enp0s31f6,2406.00,982.00,3555.91,67.19,0.00,0.00,0.00,29.13
2018-09-07 15:25:57,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:57,wlp3s0,17.00,1.00,2.38,0.07,0.00,0.00,0.00,0.00
2018-09-07 15:25:58,enp0s31f6,2406.00,962.00,3556.59,65.82,0.00,0.00,0.00,29.14
2018-09-07 15:25:58,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:58,wlp3s0,7.00,0.00,1.75,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:59,enp0s31f6,2232.00,894.00,3302.38,61.14,0.00,0.00,0.00,27.05
2018-09-07 15:25:59,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:25:59,wlp3s0,14.00,0.00,2.76,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:26:00,enp0s31f6,2333.00,937.00,3450.95,64.09,0.00,0.00,0.00,28.27
2018-09-07 15:26:00,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:26:00,wlp3s0,5.00,0.00,1.21,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:26:01,enp0s31f6,2406.00,965.00,3554.40,66.01,0.00,0.00,0.00,29.12
2018-09-07 15:26:01,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:26:01,wlp3s0,12.00,0.00,2.21,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:26:02,enp0s31f6,2340.00,939.00,3461.91,64.22,0.00,0.00,0.00,28.36
2018-09-07 15:26:02,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:26:02,wlp3s0,5.00,0.00,0.54,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:26:03,enp0s31f6,2229.00,894.00,3293.52,61.17,0.00,0.00,0.00,26.98
2018-09-07 15:26:03,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:26:03,wlp3s0,6.00,0.00,0.59,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:26:04,enp0s31f6,2406.00,961.00,3554.24,65.73,0.00,0.00,0.00,29.12
2018-09-07 15:26:04,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:26:04,wlp3s0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:26:05,enp0s31f6,2409.00,966.00,3553.92,66.08,0.00,0.00,0.00,29.11
2018-09-07 15:26:05,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:26:05,wlp3s0,4.00,1.00,0.66,0.07,0.00,0.00,0.00,0.00
2018-09-07 15:26:06,enp0s31f6,2209.00,886.00,3260.69,60.60,0.00,0.00,0.00,26.71
2018-09-07 15:26:06,lo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:26:06,wlp3s0,11.00,0.00,1.69,0.00,0.00,0.00,0.00,0.00
2018-09-07 15:26:07,enp0s31f6,2360.00,952.00,3491.55,65.10,0.00,0.00,0.00,28.60
